reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2025-11-10,wk inc covid prop ili,-1,2025-11-03,CN,quantile,0.01,4.768638142209526e-06
2025-11-10,wk inc covid prop ili,-1,2025-11-03,CN,quantile,0.025,6.309179708600904e-05
2025-11-10,wk inc covid prop ili,-1,2025-11-03,CN,quantile,0.05,0.000581284826701265
2025-11-10,wk inc covid prop ili,-1,2025-11-03,CN,quantile,0.1,0.007473997093363837
2025-11-10,wk inc covid prop ili,-1,2025-11-03,CN,quantile,0.15,0.0406592544630285
2025-11-10,wk inc covid prop ili,-1,2025-11-03,CN,quantile,0.2,0.1433406428205688
2025-11-10,wk inc covid prop ili,-1,2025-11-03,CN,quantile,0.25,0.3521207442161143
2025-11-10,wk inc covid prop ili,-1,2025-11-03,CN,quantile,0.3,0.6102177586140692
2025-11-10,wk inc covid prop ili,-1,2025-11-03,CN,quantile,0.35,0.8066804772957902
2025-11-10,wk inc covid prop ili,-1,2025-11-03,CN,quantile,0.4,0.9136347034647925
2025-11-10,wk inc covid prop ili,-1,2025-11-03,CN,quantile,0.45,0.9629910294227324
2025-11-10,wk inc covid prop ili,-1,2025-11-03,CN,quantile,0.5,0.9843983331504053
2025-11-10,wk inc covid prop ili,-1,2025-11-03,CN,quantile,0.55,0.9935063905947171
2025-11-10,wk inc covid prop ili,-1,2025-11-03,CN,quantile,0.6,0.9973497851814416
2025-11-10,wk inc covid prop ili,-1,2025-11-03,CN,quantile,0.65,0.9989529410754878
2025-11-10,wk inc covid prop ili,-1,2025-11-03,CN,quantile,0.7,0.9996069097211362
2025-11-10,wk inc covid prop ili,-1,2025-11-03,CN,quantile,0.75,0.9998634981582973
2025-11-10,wk inc covid prop ili,-1,2025-11-03,CN,quantile,0.8,0.9999579715675502
2025-11-10,wk inc covid prop ili,-1,2025-11-03,CN,quantile,0.85,0.9999893541055065
2025-11-10,wk inc covid prop ili,-1,2025-11-03,CN,quantile,0.9,0.999998108482036
2025-11-10,wk inc covid prop ili,-1,2025-11-03,CN,quantile,0.95,0.9999998539028627
2025-11-10,wk inc covid prop ili,-1,2025-11-03,CN,quantile,0.975,0.9999999841510478
2025-11-10,wk inc covid prop ili,-1,2025-11-03,CN,quantile,0.99,0.9999999988021657
2025-11-10,wk inc covid prop ili,0,2025-11-10,CN,quantile,0.01,0.7248802630271929
2025-11-10,wk inc covid prop ili,0,2025-11-10,CN,quantile,0.025,0.9039141683269534
2025-11-10,wk inc covid prop ili,0,2025-11-10,CN,quantile,0.05,0.9656459812108984
2025-11-10,wk inc covid prop ili,0,2025-11-10,CN,quantile,0.1,0.9900291201427026
2025-11-10,wk inc covid prop ili,0,2025-11-10,CN,quantile,0.15,0.9957200393684257
2025-11-10,wk inc covid prop ili,0,2025-11-10,CN,quantile,0.2,0.9978199677681223
2025-11-10,wk inc covid prop ili,0,2025-11-10,CN,quantile,0.25,0.9987789116319002
2025-11-10,wk inc covid prop ili,0,2025-11-10,CN,quantile,0.3,0.9992746637461817
2025-11-10,wk inc covid prop ili,0,2025-11-10,CN,quantile,0.35,0.9995524462144993
2025-11-10,wk inc covid prop ili,0,2025-11-10,CN,quantile,0.4,0.9997169762169832
2025-11-10,wk inc covid prop ili,0,2025-11-10,CN,quantile,0.45,0.9998183474797734
2025-11-10,wk inc covid prop ili,0,2025-11-10,CN,quantile,0.5,0.9998825919707639
2025-11-10,wk inc covid prop ili,0,2025-11-10,CN,quantile,0.55,0.9999241170336692
2025-11-10,wk inc covid prop ili,0,2025-11-10,CN,quantile,0.6,0.9999512998200105
2025-11-10,wk inc covid prop ili,0,2025-11-10,CN,quantile,0.65,0.9999692075276543
2025-11-10,wk inc covid prop ili,0,2025-11-10,CN,quantile,0.7,0.999981005195696
2025-11-10,wk inc covid prop ili,0,2025-11-10,CN,quantile,0.75,0.9999887224450024
2025-11-10,wk inc covid prop ili,0,2025-11-10,CN,quantile,0.8,0.9999936892043602
2025-11-10,wk inc covid prop ili,0,2025-11-10,CN,quantile,0.85,0.9999967923006066
2025-11-10,wk inc covid prop ili,0,2025-11-10,CN,quantile,0.9,0.9999986309747044
2025-11-10,wk inc covid prop ili,0,2025-11-10,CN,quantile,0.95,0.9999996124410221
2025-11-10,wk inc covid prop ili,0,2025-11-10,CN,quantile,0.975,0.9999998702924173
2025-11-10,wk inc covid prop ili,0,2025-11-10,CN,quantile,0.99,0.9999999636719494
